gev_20100123_0011,2010-01-23 00:11:00,2010-01-23 00:21:00,2010-01-23 00:28:00,B2.3,POINT(-49.0 -25.0),0
gev_20100123_0538,2010-01-23 05:38:00,2010-01-23 05:44:00,2010-01-23 05:49:00,B2.4,POINT(32.0 20.0),0
gev_20100123_0632,2010-01-23 06:32:00,2010-01-23 06:36:00,2010-01-23 06:44:00,B1.9,POINT(31.0 23.0),0
gev_20100123_0742,2010-01-23 07:42:00,2010-01-23 07:48:00,2010-01-23 07:54:00,B4.4,POINT(-47.0 -25.0),0
gev_20100123_1322,2010-01-23 13:22:00,2010-01-23 13:31:00,2010-01-23 13:38:00,B2.2,POINT(-44.0 -25.0),0
gev_20100123_1608,2010-01-23 16:08:00,2010-01-23 16:12:00,2010-01-23 16:17:00,B3.8,POINT(-43.0 -26.0),0
gev_20100123_2101,2010-01-23 21:01:00,2010-01-23 21:06:00,2010-01-23 21:11:00,B2.5,POINT(-46.0 -27.0),0
gev_20100123_2147,2010-01-23 21:47:00,2010-01-23 21:52:00,2010-01-23 21:58:00,B2.5,POINT(41.0 20.0),0
gev_20100124_0052,2010-01-24 00:52:00,2010-01-24 01:04:00,2010-01-24 01:10:00,B2.1,POINT(43.0 20.0),0
gev_20100124_1231,2010-01-24 12:31:00,2010-01-24 12:45:00,2010-01-24 12:58:00,B3.1,POINT(-29.0 -26.0),0
gev_20100124_2037,2010-01-24 20:37:00,2010-01-24 20:51:00,2010-01-24 21:05:00,B2.0,POINT(-73.0 -22.0),0
gev_20100126_0048,2010-01-26 00:48:00,2010-01-26 00:54:00,2010-01-26 01:05:00,B2.9,POINT(-9.0 -22.0),0
gev_20100126_0245,2010-01-26 02:45:00,2010-01-26 02:52:00,2010-01-26 03:00:00,B1.5,POINT(87.0 23.0),0
gev_20100126_0303,2010-01-26 03:03:00,2010-01-26 03:06:00,2010-01-26 03:09:00,B1.4,POINT(-16.0 -26.0),0
gev_20100126_1701,2010-01-26 17:01:00,2010-01-26 17:05:00,2010-01-26 17:08:00,B3.2,POINT(72.0 19.0),0
gev_20100126_1740,2010-01-26 17:40:00,2010-01-26 17:51:00,2010-01-26 17:58:00,B6.7,POINT(-7.0 -27.0),0
gev_20100126_2050,2010-01-26 20:50:00,2010-01-26 20:56:00,2010-01-26 21:07:00,B4.6,POINT(-5.0 -27.0),0
gev_20100126_2118,2010-01-26 21:18:00,2010-01-26 21:31:00,2010-01-26 21:36:00,B4.8,POINT(87.0 24.0),0
gev_20100126_2146,2010-01-26 21:46:00,2010-01-26 21:51:00,2010-01-26 21:56:00,B6.3,POINT(83.0 24.0),0
gev_20100126_2252,2010-01-26 22:52:00,2010-01-26 22:59:00,2010-01-26 23:09:00,B2.1,POINT(87.0 24.0),0
gev_20100127_0012,2010-01-27 00:12:00,2010-01-27 00:19:00,2010-01-27 00:26:00,B6.2,POINT(0.0 -27.0),0
gev_20100127_0245,2010-01-27 02:45:00,2010-01-27 02:50:00,2010-01-27 02:53:00,B2.4,POINT(2.0 -28.0),0
gev_20100127_1907,2010-01-27 19:07:00,2010-01-27 19:12:00,2010-01-27 19:30:00,B1.6,POINT(8.0 -26.0),0
gev_20100127_2216,2010-01-27 22:16:00,2010-01-27 22:20:00,2010-01-27 22:27:00,B1.5,POINT(80.0 15.0),0
gev_20100128_0642,2010-01-28 06:42:00,2010-01-28 06:49:00,2010-01-28 06:51:00,B4.0,POINT(14.0 -25.0),0
gev_20100130_1717,2010-01-30 17:17:00,2010-01-30 17:22:00,2010-01-30 17:27:00,B1.1,POINT(-43.0 29.0),0
gev_20100131_0410,2010-01-31 04:10:00,2010-01-31 04:21:00,2010-01-31 04:30:00,B1.5,POINT(42.0 9.0),0
gev_20100201_0535,2010-02-01 05:35:00,2010-02-01 05:53:00,2010-02-01 06:01:00,B3.4,POINT(nan nan),0
gev_20100203_0418,2010-02-03 04:18:00,2010-02-03 05:21:00,2010-02-03 06:21:00,B1.5,POINT(-87.0 15.0),0
gev_20100203_0441,2010-02-03 04:41:00,2010-02-03 05:40:00,2010-02-03 06:10:00,B1.5,POINT(-87.0 16.0),0
gev_20100205_1855,2010-02-05 18:55:00,2010-02-05 19:03:00,2010-02-05 19:10:00,B3.6,POINT(-31.0 22.0),0
gev_20100205_2308,2010-02-05 23:08:00,2010-02-05 23:17:00,2010-02-05 23:26:00,B2.8,POINT(45.0 27.0),0
gev_20100205_2336,2010-02-05 23:36:00,2010-02-05 23:39:00,2010-02-05 23:41:00,B1.5,POINT(-26.0 22.0),0
gev_20100206_0125,2010-02-06 01:25:00,2010-02-06 01:29:00,2010-02-06 01:35:00,B1.1,POINT(34.0 20.0),1044
gev_20100206_0659,2010-02-06 06:59:00,2010-02-06 07:04:00,2010-02-06 07:09:00,C4.0,POINT(-22.0 21.0),1045
gev_20100206_0822,2010-02-06 08:22:00,2010-02-06 08:29:00,2010-02-06 08:32:00,B2.8,POINT(-20.0 21.0),1045
gev_20100206_0942,2010-02-06 09:42:00,2010-02-06 09:45:00,2010-02-06 09:48:00,B1.7,POINT(-19.0 22.0),1045
gev_20100206_1034,2010-02-06 10:34:00,2010-02-06 10:48:00,2010-02-06 11:01:00,C1.0,POINT(-19.0 22.0),1045
gev_20100206_1401,2010-02-06 14:01:00,2010-02-06 14:36:00,2010-02-06 15:10:00,B9.0,POINT(-16.0 22.0),1045
gev_20100206_1525,2010-02-06 15:25:00,2010-02-06 15:39:00,2010-02-06 15:49:00,C3.4,POINT(-20.0 24.0),1045
gev_20100206_1806,2010-02-06 18:06:00,2010-02-06 18:13:00,2010-02-06 18:31:00,B6.2,POINT(-14.0 22.0),1045
